commit_date,author,release_date,version
2023-08-09,RafaelGSS,2023-08-09, Version 20.5.1 (Current)
2023-08-09,RafaelGSS,2023-08-09, Version 18.17.1 'Hydrogen' (LTS)
2023-08-09,RafaelGSS,2023-08-09, Version 16.20.2 'Gallium' (LTS)
2023-06-20,RafaelGSS,2023-06-20, Version 18.16.1 'Hydrogen' (LTS)
2023-06-20,RafaelGSS,2023-06-20, Version 20.3.1 (Current)
2023-06-20,RafaelGSS,2023-06-20, Version 16.20.1 'Gallium' (LTS)
2023-02-16,RafaelGSS,2023-02-16, Version 19.6.1 (Current)
2023-02-16,Juan José Arboleda,2023-02-16, Version 18.14.1 'Hydrogen' (LTS)
2023-02-16,Richard Lau,2023-02-16, Version 16.19.1 'Gallium' (LTS)
2023-02-16,Richard Lau,2023-02-16, Version 14.21.3 'Fermium' (LTS)
2022-11-04,Juan José Arboleda,2022-11-04, Version 18.12.1 'Hydrogen' (LTS)
2022-11-04,RafaelGSS,2022-11-04, Version 19.0.1 (Current)
2022-11-04,Beth Griggs,2022-11-04, Version 16.18.1 'Gallium' (LTS)
2022-11-04,Beth Griggs,2022-11-04, Version 14.21.1 'Fermium' (LTS)
2022-09-23,RafaelGSS,2022-09-23, Version 18.9.1 (Current)
2022-09-23,Ruy Adorno,2022-09-23, Version 16.17.1 'Gallium' (LTS)
2022-09-23,Bryan English,2022-09-23, Version 14.20.1 'Fermium' (LTS)
2022-07-07,RafaelGSS,2022-07-07, Version 18.5.0 (Current)
2022-07-07,Danielle Adams,2022-07-07, Version 16.16.0 'Gallium' (LTS)
2022-07-07,Juan José Arboleda,2022-07-07, Version 14.20.0 'Fermium' (LTS)
2022-03-17,Richard Lau,2022-03-17, Version 17.7.2 (Current)
2022-03-17,Richard Lau,2022-03-17, Version 16.14.2 'Gallium' (LTS)
2022-03-17,Richard Lau,2022-03-17, Version 14.19.1 'Fermium' (LTS)
2022-03-17,Richard Lau,2022-03-17, Version 12.22.11 'Erbium' (LTS)
2022-01-10,Beth Griggs,2022-01-10, Version 17.3.1 (Current)
2022-01-10,Danielle Adams,2022-01-10, Version 16.13.2 'Gallium' (LTS)
2022-01-10,Richard Lau,2022-01-10, Version 14.18.3 'Fermium' (LTS)
2022-01-10,Richard Lau,2022-01-10, Version 12.22.9 'Erbium' (LTS)
2021-10-12,Danielle Adams,2021-10-12, Version 16.11.1 (Current)
2021-10-12,Danielle Adams,2021-10-12, Version 14.18.1 'Fermium' (LTS)
2021-10-12,Danielle Adams,2021-10-12, Version 12.22.7 'Erbium' (LTS)
2021-08-31,Myles Borins,2021-08-31, Version 14.17.6 'Fermium' (LTS)
2021-08-31,Myles Borins,2021-08-31, Version 12.22.6 'Erbium' (LTS)
2021-08-11,Beth Griggs,2021-08-11, Version 16.6.2 (Current)
2021-08-11,Beth Griggs,2021-08-11, Version 14.17.5 'Fermium' (LTS)
2021-08-11,Beth Griggs,2021-08-11, Version 12.22.5 'Erbium' (LTS)
2021-07-29,Beth Griggs,2021-07-29, Version 16.6.0 (Current)
2021-07-29,Richard Lau,2021-07-29, Version 14.17.4 'Fermium' (LTS)
2021-07-29,Richard Lau,2021-07-29, Version 12.22.4 'Erbium' (LTS)
2021-07-01,Beth Griggs,2021-07-01, Version 16.4.1 (Current)
2021-07-01,Richard Lau,2021-07-01, Version 14.17.2 'Fermium' (LTS)
2021-07-01,Richard Lau,2021-07-01, Version 12.22.2 'Erbium' (LTS)
2021-04-06,Myles Borins,2021-04-06, Version 15.14.0 (Current)
2021-04-06,Myles Borins,2021-04-06, Version 14.16.1 'Fermium' (LTS)
2021-04-06,Myles Borins,2021-04-06, Version 12.22.1 'Erbium' (LTS)
2021-04-06,Myles Borins,2021-04-06, Version 10.24.1 'Dubnium' (LTS)
2021-02-23,Richard Lau,2021-02-23, Version 10.24.0 'Dubnium' (LTS)
2021-02-23,Richard Lau,2021-02-23, Version 12.21.0 'Erbium' (LTS)
2021-02-23,Beth Griggs,2021-02-23, Version 14.16.0 'Fermium' (LTS)
2021-02-23,Beth Griggs,2021-02-23, Version 15.10.0 (Current)
2021-01-04,Richard Lau,2021-01-04, Version 12.20.1 'Erbium' (LTS)
2021-01-04,Richard Lau,2021-01-04, Version 10.23.1 'Dubnium' (LTS)
2021-01-04,Beth Griggs,2021-01-04, Version 14.15.4 'Fermium' (LTS)
2021-01-04,Beth Griggs,2021-01-04, Version 15.5.1 (Current)
2020-11-16,Beth Griggs,2020-11-16, Version 12.19.1 'Erbium' (LTS)
2020-11-16,Beth Griggs,2020-11-16, Version 14.15.1 'Fermium' (LTS)
2020-11-16,Michaël Zasso,2020-11-16, Version 15.2.1 (Current)
2020-09-15,Richard Lau,2020-09-15, Version 14.11.0 (Current)
2020-09-15,Michaël Zasso,2020-09-15, Version 12.18.4 'Erbium' (LTS)
2020-09-15,Beth Griggs,2020-09-15, Version 10.22.1 'Dubnium' (LTS)
2020-06-02,Beth Griggs,2020-06-02, Version 10.21.0 'Dubnium' (LTS)
2020-06-02,Michaël Zasso,2020-06-02, Version 12.18.0 'Erbium' (LTS)
2020-06-02,Michaël Zasso,2020-06-02, Version 14.4.0 (Current)
2020-02-06,Beth Griggs,2020-02-06, Version 10.19.0 'Dubnium' (LTS)
2020-02-06,Beth Griggs,2020-02-06, Version 12.15.0 'Erbium' (LTS)
2020-02-06,Beth Griggs,2020-02-06, Version 13.8.0 (Current)
2019-12-17,Myles Borins,2019-12-17, Version 13.4.0 (Current)
2019-12-17,Myles Borins,2019-12-17, Version 12.14.0 'Erbium' (LTS)
2019-12-17,Myles Borins,2019-12-17, Version 10.18.0 'Dubnium' (LTS)
2019-12-17,Myles Borins,2019-12-17, Version 8.17.0 'Carbon' (LTS)
2019-08-15,Beth Griggs,2019-08-15, Version 8.16.1 'Carbon' (LTS)
2019-08-15,Beth Griggs,2019-08-15, Version 10.16.3 'Dubnium' (LTS)
2019-08-15,Michaël Zasso,2019-08-15, Version 12.8.1 (Current)
2019-05-13,Richard Lau,doc,meta: codify security release commit message
2019-02-28,Rod Vagg,2019-02-28, Version 6.17.0 'Boron' (LTS)
2019-02-28,Rod Vagg,2019-02-28, Version 8.15.1 'Carbon' (LTS)
2019-02-28,Rod Vagg,2019-02-28, Version 10.15.2 'Dubnium' (LTS)
2019-02-28,Rod Vagg,2019-02-28, Version 11.10.1 (Current)
